age,стоимость_акций,contact,day,month,duration,campaign,previous,poutcome
30,1787,cellular,19,oct,79,1,0,unknown
33,4789,cellular,11,may,220,1,4,failure
35,1350,cellular,16,apr,185,1,1,failure
30,1476,unknown,3,jun,199,4,0,unknown
59,0,unknown,5,may,226,1,0,unknown
35,747,cellular,23,feb,141,2,3,failure
36,307,cellular,14,may,341,1,2,other
39,147,cellular,6,may,151,2,0,unknown
41,221,unknown,14,may,57,2,0,unknown
43,-88,cellular,17,apr,313,1,2,failure
39,9374,unknown,20,may,273,1,0,unknown
43,264,cellular,17,apr,113,2,0,unknown
36,1109,cellular,13,aug,328,2,0,unknown
20,502,cellular,30,apr,261,1,0,unknown
31,360,cellular,29,jan,89,1,1,failure
40,194,cellular,29,aug,189,2,0,unknown
56,4073,cellular,27,aug,239,5,0,unknown
37,2317,cellular,20,apr,114,1,2,failure
25,-221,unknown,23,may,250,1,0,unknown
31,132,cellular,7,jul,148,1,1,other
38,0,cellular,18,nov,96,2,0,unknown
42,16,cellular,19,nov,140,3,0,unknown
44,106,unknown,12,jun,109,2,0,unknown
44,93,cellular,7,jul,125,2,0,unknown
26,543,cellular,30,jan,169,3,0,unknown
41,5883,cellular,20,nov,182,2,0,unknown
55,627,unknown,5,may,247,1,0,unknown
67,696,telephone,17,aug,119,1,2,failure
56,784,cellular,30,jul,149,2,0,unknown
53,105,cellular,21,aug,74,2,0,unknown
68,4189,telephone,14,jul,897,2,0,unknown
31,171,cellular,27,aug,81,3,0,unknown
59,42,cellular,21,nov,40,1,0,unknown
32,2536,cellular,26,aug,958,6,0,unknown
49,1235,cellular,13,aug,354,3,0,unknown
42,1811,unknown,14,may,150,1,0,unknown
78,229,telephone,22,oct,97,1,0,unknown
32,2089,cellular,14,nov,132,1,0,unknown
33,3935,cellular,6,may,765,1,2,failure
23,363,unknown,30,may,16,18,0,unknown
38,11971,unknown,17,nov,609,2,3,failure
36,553,cellular,11,aug,106,2,0,unknown
52,1117,cellular,13,may,365,1,0,unknown
32,396,cellular,13,may,205,3,0,unknown
32,2204,cellular,21,nov,11,4,0,unknown
34,872,unknown,7,may,105,2,0,unknown
55,145,telephone,2,feb,59,3,2,other
26,0,unknown,21,may,425,1,0,unknown
32,-849,cellular,4,feb,204,1,0,unknown
61,4629,cellular,27,jan,181,1,1,success
45,844,unknown,5,jun,1018,3,0,unknown
37,228,cellular,20,aug,1740,2,0,unknown
38,50,cellular,29,aug,98,2,0,unknown
34,1539,cellular,15,jun,441,1,1,other
53,2231,cellular,14,jul,272,3,0,unknown
48,3064,telephone,15,jul,159,2,0,unknown
57,82,telephone,4,feb,140,1,0,unknown
33,2155,cellular,17,nov,295,1,0,unknown
36,101,unknown,26,may,314,1,0,unknown
54,784,unknown,15,may,579,1,0,unknown
41,-516,telephone,8,jul,554,3,0,unknown
63,415,cellular,7,oct,323,1,0,unknown
48,5887,cellular,13,aug,227,2,0,unknown
48,1355,cellular,4,jul,134,2,0,unknown
56,16873,cellular,7,oct,223,1,0,unknown
51,203,cellular,8,may,134,1,5,failure
31,338,cellular,28,jan,155,1,0,unknown
29,444,cellular,21,jul,130,4,0,unknown
41,0,cellular,7,jul,630,3,0,unknown
32,360,cellular,19,nov,164,2,0,unknown
37,0,cellular,16,jul,268,2,3,success
42,2,unknown,5,may,380,1,0,unknown
31,6248,unknown,9,may,154,2,0,unknown
41,412,unknown,3,jun,154,5,0,unknown
56,344,unknown,15,may,221,1,0,unknown
54,3222,cellular,14,aug,67,2,0,unknown
41,174,cellular,14,may,367,2,1,other
40,591,cellular,14,aug,87,6,0,unknown
50,388,cellular,5,feb,701,1,0,unknown
40,219,cellular,17,nov,204,2,1,failure
27,451,cellular,16,jul,652,1,0,unknown
60,5,cellular,26,aug,63,2,0,unknown
28,177,cellular,6,may,150,1,0,unknown
52,657,telephone,7,jul,398,2,2,failure
37,1315,cellular,30,jun,224,1,0,unknown
51,1466,unknown,7,may,406,2,0,unknown
41,879,cellular,7,jul,60,4,0,unknown
35,293,unknown,30,may,521,2,0,unknown
38,424,cellular,17,apr,279,1,0,unknown
34,1831,unknown,20,may,203,2,0,unknown
39,111,cellular,18,nov,201,2,0,unknown
34,455,unknown,20,jun,372,3,0,unknown
27,-195,cellular,18,may,391,1,0,unknown
32,3616,cellular,14,aug,165,2,0,unknown
57,14093,cellular,11,aug,231,5,0,unknown
41,1567,cellular,1,jul,291,2,0,unknown
41,5426,unknown,14,may,149,2,0,unknown
30,261,cellular,19,oct,233,1,20,failure
36,2843,cellular,12,feb,473,1,1,success
31,406,cellular,4,feb,736,1,0,unknown
36,0,unknown,6,may,337,1,0,unknown
38,493,cellular,11,may,553,1,7,failure
49,5996,telephone,21,nov,345,2,0,unknown
57,3777,telephone,13,may,65,2,0,unknown
34,524,unknown,13,aug,9,1,0,unknown
32,574,cellular,14,apr,259,2,3,failure
37,427,unknown,9,jun,371,3,0,unknown
33,483,cellular,3,feb,280,2,0,unknown
56,3391,cellular,21,apr,243,1,0,unknown
27,0,cellular,23,jul,435,3,0,unknown
21,2488,cellular,30,jun,258,6,3,success
58,1517,telephone,29,jul,7,5,0,unknown
32,217,cellular,15,jul,317,5,0,unknown
33,22,cellular,30,jan,76,2,1,failure
25,331,telephone,26,aug,170,4,0,unknown
25,505,cellular,17,nov,386,2,0,unknown
30,1808,cellular,18,may,83,2,0,unknown
22,4111,cellular,19,aug,65,1,0,unknown
39,52,cellular,13,aug,69,1,0,unknown
46,25,unknown,17,jun,564,2,0,unknown
31,1890,cellular,21,jul,588,1,0,unknown
45,419,cellular,18,aug,113,4,0,unknown
32,2693,unknown,21,may,16,1,0,unknown
36,-231,cellular,15,jul,779,2,0,unknown
51,-55,cellular,11,may,281,2,6,failure
34,462,cellular,21,aug,1877,3,0,unknown
24,119,unknown,15,sep,51,1,0,unknown
45,586,cellular,28,jul,32,3,0,unknown
32,228,telephone,5,feb,176,1,3,failure
77,4659,cellular,14,apr,161,1,0,unknown
41,168,cellular,18,nov,187,3,0,unknown
37,0,unknown,26,may,24,1,0,unknown
43,-715,unknown,30,may,67,3,0,unknown
48,0,cellular,8,may,85,1,2,failure
27,769,unknown,9,may,317,2,0,unknown
33,0,cellular,28,aug,236,10,0,unknown
29,428,cellular,7,may,54,1,2,failure
34,0,cellular,5,feb,71,1,0,unknown
52,-970,cellular,4,feb,489,1,0,unknown
60,6313,unknown,19,jun,39,2,0,unknown
32,948,cellular,12,aug,204,2,0,unknown
32,0,cellular,22,jul,455,2,0,unknown
56,1877,unknown,30,may,86,1,0,unknown
31,874,cellular,18,nov,190,2,0,unknown
42,323,unknown,8,may,280,2,0,unknown
35,106,cellular,11,aug,588,2,0,unknown
56,1906,unknown,19,jun,45,9,0,unknown
48,1152,cellular,21,jul,168,5,0,unknown
46,179,cellular,29,jan,194,4,1,other
37,391,unknown,8,may,103,3,0,unknown
41,89,unknown,6,may,333,2,0,unknown
36,442,cellular,29,jul,102,3,0,unknown
45,-249,unknown,1,jul,92,1,0,unknown
55,8104,cellular,6,feb,213,2,0,unknown
39,501,unknown,26,may,289,1,0,unknown
35,308,cellular,22,aug,77,2,0,unknown
55,602,cellular,1,jun,324,3,2,success
55,273,cellular,29,jan,84,3,3,failure
27,50,cellular,29,jan,168,1,0,unknown
34,1641,cellular,17,apr,380,1,0,unknown
34,20,unknown,4,oct,10,1,0,unknown
25,4590,unknown,28,may,199,2,0,unknown
41,-256,unknown,9,may,35,3,0,unknown
43,978,unknown,26,may,82,2,0,unknown
28,80,cellular,20,oct,676,2,2,failure
31,2104,unknown,3,jun,455,1,0,unknown
78,499,telephone,16,mar,80,4,0,unknown
45,1269,cellular,29,jan,549,2,0,unknown
48,310,unknown,6,may,135,1,0,unknown
32,1143,cellular,10,jul,412,1,0,unknown
42,2980,unknown,20,jun,101,3,0,unknown
37,37,cellular,28,jan,253,2,0,unknown
40,462,cellular,6,apr,272,1,4,other
32,1031,cellular,17,jul,84,1,0,unknown
42,9009,cellular,20,nov,135,2,0,unknown
43,-465,cellular,23,jul,166,1,0,unknown
44,5181,cellular,31,jul,18,7,0,unknown
37,176,cellular,5,may,147,2,1,failure
37,1699,unknown,9,jun,63,1,0,unknown
37,0,cellular,17,nov,65,2,1,failure
28,172,cellular,2,feb,194,2,0,unknown
32,0,cellular,11,jul,333,2,0,unknown
34,6979,cellular,15,may,14,5,0,unknown
40,6,unknown,11,jun,140,1,0,unknown
34,-62,unknown,16,jun,109,3,0,unknown
34,1972,cellular,23,jul,61,2,0,unknown
34,899,telephone,19,nov,377,3,4,success
37,21,cellular,2,feb,96,1,2,other
36,23,cellular,8,may,152,2,1,failure
56,-1206,cellular,15,jun,382,2,0,unknown
49,0,telephone,23,jul,97,6,0,unknown
33,215,cellular,29,jul,543,12,0,unknown
30,1372,cellular,20,nov,240,2,0,unknown
36,1981,unknown,17,jun,48,2,0,unknown
23,9216,cellular,5,jun,471,2,0,unknown
57,39,cellular,30,jul,354,3,0,unknown
27,5563,unknown,30,may,435,2,0,unknown
38,1,cellular,21,nov,152,2,0,unknown
42,782,cellular,3,apr,285,1,0,unknown
75,3771,telephone,15,apr,185,1,2,success
34,992,cellular,4,may,301,1,2,success
48,1526,cellular,6,aug,273,2,0,unknown
35,2658,cellular,19,aug,768,2,3,failure
39,1315,cellular,19,nov,1337,4,1,failure
29,455,telephone,21,apr,403,1,0,unknown
45,0,cellular,18,nov,139,2,0,unknown
42,2030,cellular,9,jul,196,1,0,unknown
29,1599,cellular,8,jul,115,1,1,failure
38,-196,cellular,2,feb,60,1,1,failure
56,1333,cellular,28,aug,17,14,0,unknown
36,9149,cellular,13,aug,141,3,0,unknown
25,-350,unknown,23,jun,95,3,0,unknown
38,432,cellular,15,may,10,2,1,other
57,11494,cellular,19,nov,198,1,0,unknown
31,-253,cellular,12,aug,220,4,0,unknown
42,372,cellular,3,aug,654,2,0,unknown
45,1410,cellular,11,aug,71,2,0,unknown
30,975,cellular,13,may,256,2,2,failure
49,305,telephone,10,jul,834,10,0,unknown
49,400,cellular,21,aug,151,3,0,unknown
53,-22,cellular,31,jul,20,3,0,unknown
37,4030,unknown,26,may,178,5,0,unknown
49,365,unknown,26,may,59,2,0,unknown
41,204,cellular,13,aug,111,7,0,unknown
54,1691,cellular,20,nov,186,1,0,unknown
32,406,unknown,6,may,227,1,0,unknown
33,-204,cellular,15,may,297,3,0,unknown
33,359,cellular,20,apr,210,1,1,other
36,123,cellular,18,may,9,1,0,unknown
35,0,cellular,23,sep,112,1,6,other
52,142,cellular,25,aug,112,6,0,unknown
40,3571,unknown,9,jun,222,3,0,unknown
44,33,cellular,13,may,195,3,10,failure
45,0,cellular,26,jul,768,2,5,success
30,3096,cellular,26,jan,123,1,0,unknown
48,20,cellular,27,aug,145,3,0,unknown
33,3576,cellular,2,apr,124,1,2,other
57,206,unknown,5,may,216,3,0,unknown
57,7082,unknown,6,jun,69,3,0,unknown
51,1634,cellular,22,jul,168,4,0,unknown
34,1,cellular,22,jul,483,7,0,unknown
50,4012,cellular,19,nov,690,3,0,unknown
44,3762,cellular,28,aug,125,12,0,unknown
27,-247,unknown,4,jun,344,2,0,unknown
50,606,unknown,14,may,673,2,0,unknown
36,0,cellular,28,jan,60,1,1,other
42,-189,unknown,12,may,247,2,0,unknown
32,0,cellular,27,may,123,2,0,unknown
42,484,cellular,11,jul,144,2,0,unknown
43,0,cellular,8,may,9,2,5,failure
31,395,cellular,9,feb,155,3,0,unknown
32,2349,cellular,14,aug,134,5,0,unknown
55,410,cellular,11,jul,221,2,0,unknown
58,3401,cellular,3,feb,84,3,2,failure
46,222,cellular,8,aug,71,2,0,unknown
55,989,unknown,23,may,246,4,0,unknown
34,415,cellular,23,jul,361,2,0,unknown
28,16,cellular,12,aug,119,4,0,unknown
